id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,IR pressure,72,14,27,89,270,ship,baseline,monotonic-signal,raise-signal
m002,g002,lowering drift,53,5,18,63,195,ship,edge,drag-penalty,drop-slack
m003,g003,stack depth,96,19,43,55,262,ship,recovery,confidence-floor,raise-drag
m004,g004,diagnostic reach,77,58,5,42,441,ship,negative,lane-boundary,lower-confidence
m005,g005,IR pressure,80,10,33,60,235,ship,baseline,monotonic-signal,raise-signal
m006,g006,lowering drift,71,13,27,67,242,ship,edge,drag-penalty,drop-slack
m007,g007,stack depth,31,33,12,75,205,ship,recovery,confidence-floor,raise-drag
m008,g008,diagnostic reach,58,40,37,70,197,ship,negative,lane-boundary,lower-confidence
m009,g009,IR pressure,84,46,34,49,307,ship,baseline,monotonic-signal,raise-signal
m010,g010,lowering drift,43,6,34,36,50,hold,edge,drag-penalty,drop-slack
m011,g011,stack depth,75,75,42,77,317,ship,recovery,confidence-floor,raise-drag
m012,g012,diagnostic reach,94,71,16,46,484,ship,negative,lane-boundary,lower-confidence
m013,g013,IR pressure,116,37,39,55,398,ship,baseline,monotonic-signal,raise-signal
m014,g014,lowering drift,117,46,21,100,555,ship,edge,drag-penalty,drop-slack
m015,g015,stack depth,82,70,21,41,404,ship,recovery,confidence-floor,raise-drag
m016,g016,diagnostic reach,68,44,33,46,241,ship,negative,lane-boundary,lower-confidence
m017,g017,IR pressure,73,33,23,30,273,ship,baseline,monotonic-signal,raise-signal
m018,g018,lowering drift,110,19,19,20,403,ship,edge,drag-penalty,drop-slack
m019,g019,stack depth,48,66,26,62,256,ship,recovery,confidence-floor,raise-drag
m020,g020,diagnostic reach,65,52,20,75,339,ship,negative,lane-boundary,lower-confidence
m021,g021,IR pressure,42,12,43,62,39,hold,baseline,monotonic-signal,raise-signal
m022,g022,lowering drift,108,19,35,54,349,ship,edge,drag-penalty,drop-slack
m023,g023,stack depth,61,76,40,54,250,ship,recovery,confidence-floor,raise-drag
m024,g024,diagnostic reach,41,67,12,46,284,ship,negative,lane-boundary,lower-confidence
m025,g025,IR pressure,44,57,45,66,131,watch,baseline,monotonic-signal,raise-signal
m026,g026,lowering drift,79,16,21,74,317,ship,edge,drag-penalty,drop-slack
m027,g027,stack depth,61,50,39,82,231,ship,recovery,confidence-floor,raise-drag
m028,g028,diagnostic reach,55,29,18,35,223,ship,negative,lane-boundary,lower-confidence
m029,g029,IR pressure,65,21,12,35,277,ship,baseline,monotonic-signal,raise-signal
m030,g030,lowering drift,60,8,32,76,172,ship,edge,drag-penalty,drop-slack
m031,g031,stack depth,65,21,29,58,215,ship,recovery,confidence-floor,raise-drag
m032,g032,diagnostic reach,104,24,19,41,410,ship,negative,lane-boundary,lower-confidence
m033,g033,IR pressure,103,63,19,99,542,ship,baseline,monotonic-signal,raise-signal
m034,g034,lowering drift,49,4,20,40,144,watch,edge,drag-penalty,drop-slack
m035,g035,stack depth,30,29,50,58,-14,hold,recovery,confidence-floor,raise-drag
m036,g036,diagnostic reach,112,38,24,16,420,ship,negative,lane-boundary,lower-confidence
m037,g037,IR pressure,121,45,6,105,649,ship,baseline,monotonic-signal,raise-signal
m038,g038,lowering drift,72,40,41,61,224,ship,edge,drag-penalty,drop-slack
m039,g039,stack depth,99,22,25,87,402,ship,recovery,confidence-floor,raise-drag
m040,g040,diagnostic reach,116,10,8,48,492,ship,negative,lane-boundary,lower-confidence
m041,g041,IR pressure,93,76,4,53,557,ship,baseline,monotonic-signal,raise-signal
m042,g042,lowering drift,116,31,4,53,559,ship,edge,drag-penalty,drop-slack
m043,g043,stack depth,47,62,12,58,310,ship,recovery,confidence-floor,raise-drag
m044,g044,diagnostic reach,60,75,28,52,302,ship,negative,lane-boundary,lower-confidence
m045,g045,IR pressure,79,49,20,73,387,ship,baseline,monotonic-signal,raise-signal
m046,g046,lowering drift,35,27,18,81,185,ship,edge,drag-penalty,drop-slack
m047,g047,stack depth,109,35,46,47,323,ship,recovery,confidence-floor,raise-drag
m048,g048,diagnostic reach,105,71,30,21,433,ship,negative,lane-boundary,lower-confidence
m049,g049,IR pressure,72,57,6,75,447,ship,baseline,monotonic-signal,raise-signal
m050,g050,lowering drift,89,6,17,57,340,ship,edge,drag-penalty,drop-slack
m051,g051,stack depth,106,35,52,53,287,ship,recovery,confidence-floor,raise-drag
m052,g052,diagnostic reach,74,11,39,85,208,ship,negative,lane-boundary,lower-confidence
m053,g053,IR pressure,70,72,17,39,378,ship,baseline,monotonic-signal,raise-signal
m054,g054,lowering drift,102,51,7,57,532,ship,edge,drag-penalty,drop-slack
m055,g055,stack depth,82,32,11,28,365,ship,recovery,confidence-floor,raise-drag
m056,g056,diagnostic reach,76,55,4,91,485,ship,negative,lane-boundary,lower-confidence
m057,g057,IR pressure,41,34,5,60,267,ship,baseline,monotonic-signal,raise-signal
m058,g058,lowering drift,102,15,28,86,384,ship,edge,drag-penalty,drop-slack
m059,g059,stack depth,96,24,16,60,412,ship,recovery,confidence-floor,raise-drag
m060,g060,diagnostic reach,97,26,33,39,314,ship,negative,lane-boundary,lower-confidence
m061,g061,IR pressure,110,29,26,52,420,ship,baseline,monotonic-signal,raise-signal
m062,g062,lowering drift,106,57,45,57,370,ship,edge,drag-penalty,drop-slack
m063,g063,stack depth,57,20,42,64,122,watch,recovery,confidence-floor,raise-drag
m064,g064,diagnostic reach,47,34,31,59,160,ship,negative,lane-boundary,lower-confidence
m065,g065,IR pressure,99,43,31,80,407,ship,baseline,monotonic-signal,raise-signal
m066,g066,lowering drift,71,39,32,46,248,ship,edge,drag-penalty,drop-slack
m067,g067,stack depth,65,56,20,33,305,ship,recovery,confidence-floor,raise-drag
m068,g068,diagnostic reach,65,27,5,61,350,ship,negative,lane-boundary,lower-confidence
m069,g069,IR pressure,122,15,45,56,349,ship,baseline,monotonic-signal,raise-signal
m070,g070,lowering drift,52,0,24,52,140,watch,edge,drag-penalty,drop-slack
m071,g071,stack depth,69,47,22,97,357,ship,recovery,confidence-floor,raise-drag
m072,g072,diagnostic reach,37,67,33,25,142,watch,negative,lane-boundary,lower-confidence
m073,g073,IR pressure,78,10,44,56,168,ship,baseline,monotonic-signal,raise-signal
m074,g074,lowering drift,88,43,30,27,315,ship,edge,drag-penalty,drop-slack
m075,g075,stack depth,101,43,31,103,438,ship,recovery,confidence-floor,raise-drag
m076,g076,diagnostic reach,111,40,44,46,350,ship,negative,lane-boundary,lower-confidence
m077,g077,IR pressure,85,76,34,85,407,ship,baseline,monotonic-signal,raise-signal
m078,g078,lowering drift,62,51,31,59,254,ship,edge,drag-penalty,drop-slack
m079,g079,stack depth,58,22,38,51,137,watch,recovery,confidence-floor,raise-drag
m080,g080,diagnostic reach,104,40,32,38,374,ship,negative,lane-boundary,lower-confidence
m081,g081,IR pressure,51,16,13,56,227,ship,baseline,monotonic-signal,raise-signal
m082,g082,lowering drift,59,66,36,63,251,ship,edge,drag-penalty,drop-slack
m083,g083,stack depth,115,67,25,71,540,ship,recovery,confidence-floor,raise-drag
m084,g084,diagnostic reach,102,37,11,66,493,ship,negative,lane-boundary,lower-confidence
m085,g085,IR pressure,64,60,30,45,271,ship,baseline,monotonic-signal,raise-signal
m086,g086,lowering drift,35,28,20,32,128,watch,edge,drag-penalty,drop-slack
m087,g087,stack depth,117,31,23,73,488,ship,recovery,confidence-floor,raise-drag
m088,g088,diagnostic reach,73,29,16,42,312,ship,negative,lane-boundary,lower-confidence
m089,g089,IR pressure,64,31,17,51,284,ship,baseline,monotonic-signal,raise-signal
m090,g090,lowering drift,49,23,40,96,138,watch,edge,drag-penalty,drop-slack
m091,g091,stack depth,50,73,39,37,188,ship,recovery,confidence-floor,raise-drag
m092,g092,diagnostic reach,54,25,30,42,158,ship,negative,lane-boundary,lower-confidence
m093,g093,IR pressure,68,39,9,26,331,ship,baseline,monotonic-signal,raise-signal
m094,g094,lowering drift,98,37,42,102,358,ship,edge,drag-penalty,drop-slack
m095,g095,stack depth,88,55,25,58,395,ship,recovery,confidence-floor,raise-drag
m096,g096,diagnostic reach,43,61,29,71,220,ship,negative,lane-boundary,lower-confidence
